drug_name,num_prescriber,total_cost
HARVONI,135,150343470.800000
CRESTOR,2766,52729274.050000
REVLIMID,147,51119717.170000
LANTUS SOLOSTAR,2068,49048340.380000
SPIRIVA,2176,47908452.590000
ADVAIR DISKUS,2435,46598646.580000
JANUVIA,2005,40908105.340000
RENVELA,484,40597544.030000
LANTUS,1892,37318558.710000
NEXIUM,2248,35437577.950000
ENBREL,154,35242241.710000
LYRICA,2051,31997464.110000
ABILIFY,712,30292430.230000
SENSIPAR,448,29242468.850000
XARELTO,1672,28776513.370000
HUMIRA PEN,169,27845550.330000
SYMBICORT,1807,27527951.760000
LEVEMIR FLEXTOUCH,1250,25064582.330000
SOVALDI,41,22911093.100000
GLEEVEC,104,20714729.710000
ZETIA,1593,20362868.510000
NOVOLOG FLEXPEN,1012,20243982.820000
COPAXONE,108,20002278.420000
NAMENDA XR,1023,19377232.760000
ELIQUIS,982,17998062.260000
INVEGA SUSTENNA,196,16287484.100000
ZYTIGA,80,15593295.950000
ARIPIPRAZOLE,647,14744681.970000
LEVOTHYROXINE SODIUM,4574,14377096.900000
OXYCONTIN,691,13985011.310000
DULOXETINE HCL,2780,13976412.310000
ATORVASTATIN CALCIUM,5409,13827391.890000
TRUVADA,178,13815287.770000
HYDROCODONE-ACETAMINOPHEN,4987,13659217.230000
HUMALOG KWIKPEN U-100,651,12520963.290000
SEROQUEL XR,464,12413685.460000
ATRIPLA,138,12049115.900000
NAMENDA,1069,11946174.590000
METOPROLOL SUCCINATE,4010,11896388.630000
PROAIR HFA,3436,11843368.330000
TECFIDERA,68,11501558.350000
XTANDI,59,11393931.130000
NOVOLOG,839,11267296.680000
LATUDA,324,11188265.490000
RESTASIS,449,10697461.780000
IMBRUVICA,63,10537023.520000
LEVEMIR,722,10063339.530000
GABAPENTIN,5091,9950945.270000
TRADJENTA,686,9781660.730000
VICTOZA 3-PAK,373,9620363.830000
OXYCODONE-ACETAMINOPHEN,2965,9597615.860000
EXELON,530,9573697.440000
RANEXA,575,9568220.640000
PRADAXA,689,9202208.030000
HUMALOG,726,8992844.440000
JANUMET,658,8627786.600000
OMEPRAZOLE,5157,8627224.190000
VESICARE,903,8602436.100000
LETAIRIS,40,8418719.390000
COMBIVENT RESPIMAT,907,8289967.540000
PRAVASTATIN SODIUM,3438,8035850.240000
HUMIRA,77,7933594.320000
PREZISTA,134,7894667.270000
TARCEVA,61,7748200.440000
POTASSIUM CHLORIDE,3441,7736815.340000
ISENTRESS,129,7452906.830000
TAMSULOSIN HCL,3149,7290448.940000
FENOFIBRATE,1982,7235386.080000
VIMPAT,260,7193107.930000
DEXILANT,831,7184212.540000
HYDROXYCHLOROQUINE SULFATE,476,7011016.420000
JAKAFI,36,7001493.000000
CELECOXIB,1353,6909610.220000
POMALYST,24,6778178.070000
LIDOCAINE,611,6726661.400000
TRACLEER,40,6626768.860000
NOVOLOG MIX 70-30 FLEXPEN,353,6554609.150000
INVOKANA,453,6422387.440000
FORTEO,98,6225566.630000
XIFAXAN,167,6182635.080000
BENICAR,877,6130259.570000
LUMIGAN,442,6119113.100000
GILENYA,35,6114714.670000
DIVALPROEX SODIUM ER,844,6031468.300000
VALSARTAN,1972,5823156.110000
RISPERDAL CONSTA,196,5774766.410000
BYSTOLIC,987,5512923.590000
AMLODIPINE BESYLATE,5530,5499132.330000
MULTAQ,265,5453004.320000
ESBRIET,26,5413165.090000
AFINITOR,30,5320438.920000
FENTANYL,1115,5320019.920000
OFEV,29,5163990.180000
LISINOPRIL,5673,5145472.170000
SIMVASTATIN,4596,5090509.680000
MORPHINE SULFATE ER,1024,4995454.450000
CLOPIDOGREL,3928,4908774.000000
OMEGA-3 ACID ETHYL ESTERS,859,4869255.910000
CLOBETASOL PROPIONATE,655,4747741.610000
INVEGA,191,4734264.710000
REYATAZ,102,4719763.330000
SYNTHROID,1671,4678895.420000
REBIF,45,4565071.460000
OXYCODONE HCL,1788,4473634.690000
TASIGNA,30,4407263.470000
LOSARTAN POTASSIUM,4178,4387717.590000
ORENCIA,42,4323097.840000
TRAVATAN Z,437,4313731.090000
METHOTREXATE,511,4293629.700000
XELJANZ,47,4287802.580000
AVONEX PEN,48,4264885.920000
SPRYCEL,33,4245602.070000
OPSUMIT,24,4144034.330000
LINZESS,421,4061504.440000
QUETIAPINE FUMARATE,2147,4052422.240000
CREON,239,4026477.020000
DONEPEZIL HCL,2412,3978336.000000
BETASERON,35,3963739.930000
GAMMAGARD LIQUID,20,3896581.800000
VOLTAREN,1110,3893384.880000
EPZICOM,88,3811601.400000
RALOXIFENE HCL,656,3786236.800000
AVONEX,43,3771874.100000
WELCHOL,331,3737308.840000
METFORMIN HCL,4228,3718210.550000
PREMARIN,776,3705833.780000
AMITIZA,463,3680127.910000
PANTOPRAZOLE SODIUM,4065,3679026.720000
DICLOFENAC SODIUM,958,3668855.310000
SUBOXONE,175,3665920.670000
IBRANCE,22,3665218.820000
BENICAR HCT,562,3617071.870000
ABILIFY MAINTENA,66,3586249.400000
SUBSYS,6,3562755.590000
ONGLYZA,367,3540440.280000
MYRBETRIQ,322,3536052.890000
EFFIENT,302,3533599.970000
